CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPrelevement;CoordXPrel;CoordYPrel;ProjectPrel;LibelléProjection;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DatePrel;HeurePrel;DateFinPrel;HeureFinPrel;CdZoneVerticaleProspectee;MnémoZoneVerticaleProspectée;ProfondeurPrel;CdDifficultePrel;MnemoDifficultePrel;CdAccredPrel;MnemoAccredPrel;AgrePrel;CdFinalitePrel;LbFinalitePrel;CommentairesPrel;CdRdd;NomRdd;CdProducteurPrelevement;NomProducteurPrelevement;CdPreleveur;NomPreleveur
05073000;La Garonne en aval de Bordeaux;1613497;;;26;RGF93 / Lambert 93;3;Eau;;;2021-06-21;08:10:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1615586;;;26;RGF93 / Lambert 93;3;Eau;;;2021-07-26;08:20:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1618497;;;26;RGF93 / Lambert 93;3;Eau;;;2021-08-23;08:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1620356;;;26;RGF93 / Lambert 93;3;Eau;;;2021-09-20;08:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1623169;;;26;RGF93 / Lambert 93;3;Eau;;;2021-10-18;08:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1626592;;;26;RGF93 / Lambert 93;3;Eau;;;2021-11-22;08:20:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1628624;;;26;RGF93 / Lambert 93;3;Eau;;;2021-12-13;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;534139;;;26;RGF93 / Lambert 93;3;Eau;;;2015-01-20;13:50:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900023;AQUABIO
05073000;La Garonne en aval de Bordeaux;537548;;;26;RGF93 / Lambert 93;3;Eau;;;2015-03-18;14:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900023;AQUABIO
05073000;La Garonne en aval de Bordeaux;537550;;;26;RGF93 / Lambert 93;3;Eau;;;2015-02-19;13:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900023;AQUABIO
05073000;La Garonne en aval de Bordeaux;543289;;;26;RGF93 / Lambert 93;3;Eau;;;2015-04-16;15:20:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900023;AQUABIO
05073000;La Garonne en aval de Bordeaux;546859;;;26;RGF93 / Lambert 93;3;Eau;;;2015-05-19;13:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900023;AQUABIO
